billboard_id,name,artist,featuring,album_name,release_date,streaming_revenue_spotify,alltime_spotify_streams,genre
65,TQG,Karol G,Shakira,Manana Sera Bonito ,2023-02-24,2902917.513,967639171,Reggaeton
66,Try That In A Small Town,Jason Aldean,n/a,Highway Desperado,2023-11-03,179812.752,59937584,Country
67,Tennessee Orange,Megan Moroney,n/a,Single,2022-09-02,605507.073,201835691,Country
68,Jingle Bell Rock,Bobby Helms,n/a,Single,1957-12-02,2888839.707,962946569,Holiday
69,Princess Diana,Ice Spice,Nicki Minaj,Single,2023-04-14,625207.485,208402495,Rap
70,Tomorrow 2,Glorilla,Cardi B,"Anyways, Life's Great...",2022-11-11,450009.828,150003276,Rap
71,A Holly Jolly Christmas,Burl Ives,n/a,Have A Holly Jolly Christmas,1965-10-01,1353901.626,451300542,Holiday
72,Where She Goes,Bad Bunny,n/a,Single,2023-05-18,2055349.833,685116611,Reggaeton
73,Bebe Dame,Fuerza Regida,Grupo Frontera,Single,2022-12-16,1610359.362,536786454,Reggaeton
74,I Remember Everything,Zach Bryan,Kacey Musgraves,Zach Bryan,2023-08-25,1516705.806,505568602,Country
75,I Like You (A Happier Song),Post Malone,Doja Cat,Twelve Carat Toothache,2022-06-03,2389442.811,796480937,Pop
76,What It Is (Block Boy),Doechii,Kodak Black,Single,2023-03-17,291068.001,97022667,RnB
77,Nobody Gets Me,SZA,n/a,SOS,2022-12-09,1401532.563,467177527,RnB
78,Rich Men North Of Richmond,Oliver Anthony Music,n/a,Single,2023-08-11,556658.826,185552942,Country
79,Super Freaky Girl,Nicki Minaj,n/a,Single,2022-08-12,1599809.742,533269914,Rap
80,Dial Drunk,Noah Kahan,Post Malone,Single,2023-07-18,667029.495,222343165,Country
81,What Was I Made For?,Billie Eilish,n/a,Single,2023-07-13,2345304.333,781768111,Indie
82,Seven,Jung Kook,Latto,Single,2023-07-14,4597514.256,1532504752,K-Pop
83,Wait For U,Future,Drake & Tems,I NEVER LIKED YOU,2022-04-29,2232132.825,744044275,Rap
84,Last Christmas,Wham!,n/a,Single,1984-11-29,4494013.005,1498004335,Holiday
85,Handle On You,Parker McCollum,n/a,Single,2022-08-05,286554.456,95518152,Country
86,Por Las Noches,Peso Pluma,n/a,Single,2021-06-11,1568572.632,522857544,Reggaeton
87,Memory Lane,Old Dominion,n/a,Single,2023-01-05,313349.985,104449995,Country
88,Area Codes,Kaliii,n/a,Single,2023-03-17,644602.974,214867658,Rap
89,Bury Me In Georgia,Kane Brown,n/a,Different Man,2022-09-09,58058.598,19352866,Pop
90,PRC,Peso Pluma,Natanael Cano,Single,2023-01-23,1922537.025,640845675,Reggaeton
91,What My World Spins Around,Jordan Davis,n/a,Single,2022-05-27,612839.097,204279699,Country
92,Ain't That Some,Morgan Wallen,n/a,One Thing At A Time,2023-03-03,542253.414,180751132,Country
93,Wild As Her,Corey Kent,n/a,Single,2022-03-04,504662.778,168220926,Country
94,Peaches & Eggplants,Young Nudy,21 Savage,Single,2023-02-27,436444.314,145481438,Rap
95,I Wrote The Book,Morgan Wallen,n/a,One Thing At A Time,2023-03-03,386734.167,128911389,Country
96,"Bzrp Music Sessions, Vol. 53",Bizarrap,Shakira,Single,2023-01-11,2753679.543,917893181,Pop
97,Meltdown,Travis Scott,Drake,Utopia,2023-07-28,954505.689,318168563,Rap
98,Put It On Da Floor Again,Latto,Cardi B,Single,2023-06-02,167420.373,55806791,Rap
99,Bloody Mary,Lady Gaga,n/a,Born This Way,2011-01-01,1476892.041,492297347,Pop
100,Watermelon Moonshine,Lainey Wilson,n/a,Bell Bottom Country,2022-11-28,341710.617,113903539,Country
